Ride_ID,Driver_ID,Customer_ID,Pickup_Location,Dropoff_Location,Ride_Start_Time,Ride_End_Time,Cancellation_Status,Cancellation_Reason,Ride_Fare
ada3b741-909b-41cf-8759-032ef5962aaf,ddec40e2-f366-457d-a157-2b6109111e1c,f02b49ff-c29c-4b34-bb7c-388704f28f95,Lake Meganbury,New Jasonbury,2025-01-01 06:18:03,2025-01-01 11:48:52,Cancelled,Traffic conditions,63.67
8e5e6454-ff0f-48ca-8d47-5366dec5e3af,421a78ba-16a2-4723-adf8-cb5e2c020ea2,38d93f2c-af32-48f6-a708-543c36bc02de,Lake Thomas,Stephaniemouth,2025-01-01 11:40:09,2025-01-01 11:40:09,Cancelled,Customer no-show,25.04
8ce91111-e570-4d41-9e62-da257f9a3e59,d7eb3c46-c03c-4ef2-90f6-6ff8941890cb,664d7b88-2b41-47b3-aad4-6c93d300f92b,Davidview,Michaelfurt,2025-01-01 08:42:10,2025-01-01 11:56:48,Cancelled,Driver requested offline trip,44.7
c7809159-3986-4ce1-9a40-c16780db371f,977d04b0-e857-48e2-bf4a-16ffc7dca034,319eb801-56bc-4ec3-83df-e509f370e286,East Harryshire,Martinburgh,2025-01-01 07:38:53,2025-01-01 12:47:39,Completed,Customer no-show,34.19
93e79443-bf3e-411d-99c9-6edc21d3b4bf,1beed704-8ea5-4d8c-bb94-9aeedc566ec3,8913178e-7416-4c02-aded-eb4924e91934,Rogerschester,New Bruce,2025-01-01 10:36:31,2025-01-01 10:36:31,Completed,Driver requested offline trip,59.08
9180eae8-4f8a-4a06-afcf-91e93500a914,50d09513-ec68-493b-b51d-0748da27e599,a204053d-abad-4d00-9395-e186c2498b4b,North Veronica,West Annefurt,2025-01-01 02:41:24,2025-01-01 04:16:51,Completed,Traffic conditions,98.78
2eb97e86-6251-4f80-badc-a659b5624c23,1c8ffc2a-7e9e-4b85-9afc-06801a458a42,a2f75d7f-cd32-4fa0-b2d9-2b6a8205b68d,Davidmouth,North Gregory,2025-01-01 02:10:37,2025-01-01 05:59:57,Completed,Customer no-show,43.57
2facf825-a87a-4e38-a15b-761c8bb625cb,603a66f5-d3f5-4e81-93d4-a03194aec078,2cac679d-430d-4d41-84e1-e21435632d4d,North Carolinetown,New Keith,2025-01-01 03:54:47,2025-01-01 06:08:43,Cancelled,,10.75
7270c917-82ea-4e47-8334-0a6b875f2844,d7296778-062e-4391-83c1-2d6315d2c07a,e7da527f-5502-4bd6-b3b9-cd9be32f8e36,South Ryanborough,New Katrina,2025-01-01 12:12:47,2025-01-01 12:12:47,Completed,,54.69
2330b040-87ea-427e-9cfe-001b54cafb06,914a477e-11ae-4725-91d1-1d9e8fb00475,9af03a0e-5f08-4464-a6ce-82e185f1f29e,Copelandbury,East Carrieside,2025-01-01 05:02:05,2025-01-01 12:25:40,Completed,Customer no-show,66.64
8327dc83-5496-483f-8f62-0db0ce1825ab,3e2b568c-6f89-4a9b-841b-7badb4733dd1,c4ea8f07-35e0-4e9e-95df-da1fb4856261,Crystalview,Lake Amy,2025-01-01 08:56:32,2025-01-01 08:56:32,Completed,Traffic conditions,27.9
efebb6dc-2781-42fe-8119-5dd9fde6cf59,79b49b1f-c0ee-41a6-a13f-ca3315a25f50,c798d869-67d7-4374-9cc5-86c604b7f147,Ericside,Charlesville,2025-01-01 00:13:56,2025-01-01 10:36:59,Completed,Traffic conditions,58.59
7a66b876-557f-4561-a78a-ec16e9daf43a,72d9966b-4322-42b0-90b4-aa57b5240724,660d42e5-846a-408e-b987-375048b7e161,Lake Ashleychester,Bankston,2025-01-01 08:31:58,2025-01-01 12:26:31,Completed,Other,38.44
1ade1d64-7765-4da9-bd99-7a5e7e0eb7e4,30330d64-d5f0-44f4-99de-d9ae9441464d,79597656-b82c-4479-855f-38bd281db622,Berryside,North Brandonstad,2025-01-01 04:50:25,2025-01-01 12:09:26,Completed,,23.04
39bdb85c-db65-4733-bf87-0ef15730d979,96c8ff6a-e882-43d6-8ca2-22e8caf68cb7,dea731e0-1fc4-4871-841e-f4534c7cd722,East Aprilfurt,Mcfarlandfurt,2025-01-01 08:42:49,2025-01-01 12:13:29,Completed,Driver requested offline trip,15.73
a280b84c-dabe-4eec-8475-1d027c9498ca,833589a3-1a23-4805-916e-63653913e635,b86c5aea-7b6b-49ee-8428-0a1afc017360,Nicoleburgh,Herreraberg,2025-01-01 11:27:39,2025-01-01 11:27:39,Completed,Traffic conditions,22.55
b9d098c9-2bbc-4722-abf4-d947622a8785,df82afc2-24a3-4a6d-816f-716f11ccf8c7,42b4dd99-0712-4d38-ab8f-91bc667c2e31,East Nicoleburgh,East Robinton,2025-01-01 01:20:00,2025-01-01 02:08:38,Completed,Driver requested offline trip,80.98
b781ba4c-64ab-46ea-810c-78c191b74eb4,3c24f498-ea0a-4ce7-8d8b-4294a6d1161e,1e88eebd-ca3c-4104-8ae3-c6c78f22c519,Lake Thomaston,Mejiatown,2025-01-01 10:07:47,2025-01-01 11:17:03,Completed,Traffic conditions,87.92
313ab9ea-9b1c-4b72-960b-c1b0d8222ba6,9c394fc0-ccbf-430a-8684-9e85cc0d1cd8,fd9a465f-38b7-463c-8c95-10f4ea0f5d1a,Lake Gregoryville,Riveratown,2025-01-01 00:30:17,2025-01-01 13:08:41,Completed,Driver requested offline trip,77.19
85e7b631-9abb-4fb9-bc4f-f38f6ed3f68e,deeb1a85-8b7c-40e1-8493-2545a5182413,244f40e6-0b36-4ebc-99c0-ebe3e3044f98,Karenfurt,Jonesstad,2025-01-01 00:16:08,2025-01-01 00:44:46,Completed,Customer no-show,93.18
e06759f9-f6dc-4316-b58c-82ff545bc4b5,4e7ecb75-5f8a-466e-9598-1f7d94cdceb0,7ad6be1d-60bd-40f5-a3c5-950f415418a2,Williamton,Johnsonland,2025-01-01 09:35:07,2025-01-01 09:35:07,Cancelled,Traffic conditions,23.05
