ride_id,pickup_location,dropoff_location,booking_time,ride_time_minutes,driver_rating,passenger_rating,cancellation_reason,ride_fare,cancellation_status
3f6803fd-529f-49ff-aee1-8f8d1b7eb844,Payneside,Jeanview,2025-01-25 08:00:49.411515,58,3.1,4.9,Driver Late,10.87,0
c8aa9eaa-0011-4eeb-96ef-56085c5390af,Craigberg,East Kennethland,2025-01-26 17:40:13.821791,60,3.5,3.2,Driver Late,8.38,1
92aa1d8b-8bc5-4d65-a8f4-ed0bde0a4b73,Alexandrafort,Patriciamouth,2025-01-25 16:07:06.827873,6,4.9,4.1,,11.89,0
6c9998a8-e6ce-4998-be17-ae417ee31b66,Port Kimberlybury,East Nathanielburgh,2025-01-13 21:40:37.789198,60,3.4,3.1,Driver Late,46.94,0
1591d37e-ae72-4548-bef2-46593031242c,Lake Anthonystad,Estradaside,2025-01-12 20:36:47.137482,6,4.0,3.6,Changed Plans,13.59,1
aa065578-4b83-447c-be40-367d8417584f,Lake Kristinaborough,Johnsonside,2025-01-26 05:20:30.941236,26,3.5,4.8,,6.76,0
594d439e-f7ae-4dfe-b411-f5250390ff55,Susantown,East Samuelville,2025-01-11 23:07:18.244920,34,3.4,4.6,Passenger No-show,29.31,1
74b1fb28-53a1-4f89-9db3-8fec65d60a50,New Laurenhaven,West Jeffrey,2025-01-24 18:40:06.864487,8,4.2,3.3,Changed Plans,40.56,1
49354fd0-30a4-4138-9c00-3359a23f2c79,Dayfurt,Lisaburgh,2025-01-16 22:39:49.806831,46,4.2,4.2,,16.55,1
422e785f-83c0-4d8f-9d09-f20abebccd1e,Samanthahaven,Herrerafort,2025-01-22 03:20:02.880642,34,3.6,3.4,Changed Plans,11.99,1
ad4bb041-19aa-4c23-87c3-580b0be33980,Millerton,Adamston,2025-01-26 13:47:42.651295,18,3.4,3.4,Driver Late,19.0,1
a8d169c3-2288-4c86-b244-938a2e79397d,Traceyton,Scottville,2025-01-17 16:46:10.538535,28,3.7,3.3,Driver Late,18.47,0
3e00804b-2410-42ab-b4be-16d0817f9a6a,Seantown,Port Amanda,2025-01-05 18:11:36.457373,44,3.0,3.8,Driver Late,17.16,0
e8e07972-5655-4112-ac2e-96827efa4fe4,Hoganburgh,Hensonville,2025-01-09 05:18:48.135816,12,3.5,3.6,Changed Plans,20.76,0
a50104b3-7f97-4790-b1f9-540d0da185c3,Port Scottland,Fieldsmouth,2025-01-18 06:13:18.479494,47,3.9,4.0,Passenger No-show,23.0,0
b6c38e17-ed81-42f5-a387-4124f8bb2d0f,Staceychester,Haletown,2025-01-05 21:19:00.937548,59,4.9,4.1,,43.67,0
07b28671-9b6b-410f-bf3b-b568a6da91b3,New Henry,Michelleport,2025-01-18 13:49:13.712121,17,3.4,4.3,Driver Late,17.76,0
ef782c4a-25ef-4abb-b783-1fae65ff6157,Matthewhaven,Lake Rhonda,2025-01-21 07:14:49.461828,29,4.6,4.6,Changed Plans,10.05,1
47d11a44-e6a9-45a1-9e7e-b3af606b0fed,Chadton,Lake Josephfurt,2025-01-13 18:46:44.870968,12,4.1,3.6,Passenger No-show,11.82,1
d4bfef80-68f1-4588-b854-6cd13ebe13f1,Danielton,Elizabethtown,2025-01-26 18:16:55.844443,31,4.4,3.2,,33.76,0
7785ad33-9419-4e6d-b6fe-9fa3d3b26f0e,Lewismouth,East Reginald,2025-01-25 20:34:06.217619,28,4.0,4.6,Driver Late,13.99,0
30e4c6f1-fe57-4b79-8f16-7e9d85a64391,Hannahtown,Port Jenniferville,2025-01-16 14:34:24.017414,50,3.4,4.8,,17.11,1
d93eb98f-57aa-43cc-9f93-b8f1d41b3859,Lefurt,East Andrew,2025-01-23 06:07:25.886343,17,4.0,3.4,,7.84,1
e26673dc-4b01-48e7-9ebb-d71dbddeca35,Taylormouth,South Cherylview,2025-01-12 08:37:04.773075,43,3.3,4.6,Driver Late,20.19,1
0208d9af-33a3-4b79-8fbb-9c0c5a52dd5a,Lake Scottchester,North Valerie,2025-01-28 06:19:08.037105,46,4.5,4.2,,13.72,0
d46820f1-1de3-4f77-a357-4fa0eecf7952,Webbshire,Karenview,2025-01-10 05:58:12.359784,42,4.8,3.1,Changed Plans,32.66,0
01197697-df60-48b0-8741-9d528e3466ef,Shepherdhaven,West Cody,2025-01-08 21:36:21.360541,28,3.4,3.3,Changed Plans,35.91,0
3a7f8a42-46bb-436b-ad90-84e7d7943aea,Lake Jamie,North Nicole,2025-01-04 03:16:40.706967,51,3.1,3.7,Driver Late,30.01,1
1f810b53-2fb4-45ed-975e-fd8ffe8fef56,Lorimouth,West Cory,2025-01-06 14:42:46.033981,43,3.2,4.7,Driver Late,32.5,0
8e6c3052-6092-4009-be68-021d3a98922b,Richardville,North Amymouth,2025-01-17 04:29:35.750999,38,4.0,4.4,,33.21,0
589313cb-d514-4d34-a324-f6ac3b404675,West Sheena,Lake Susan,2025-01-24 06:25:30.045177,17,4.4,4.5,Driver Late,21.02,0
5bf445c1-39f9-4149-bb32-ca428f8f5df0,North Lorimouth,North Kristyberg,2025-01-21 22:17:46.918335,28,4.8,4.6,,26.69,0
e805c424-63e7-4fa9-ae40-60312f22eef9,East Amandachester,East Eric,2025-01-04 23:18:54.675878,39,4.2,4.3,Changed Plans,18.75,0
75ec1a51-958a-42f2-8428-286511ff364b,Matthewside,West Ashley,2025-01-24 12:24:59.256363,41,3.4,4.1,Changed Plans,23.93,0
9e1591c3-be10-484d-8260-2cc7ebfbf1d9,Joshualand,Guerreromouth,2025-01-09 06:37:30.674858,42,5.0,4.4,Passenger No-show,6.18,1
2a89e6ca-3fef-461f-acc8-f963f0e6d786,Port Michele,Port Ryan,2025-01-16 19:28:46.812088,37,3.4,3.6,Changed Plans,34.52,1
4991cc67-8b2f-4991-932c-198c32c2d512,West Sarahbury,West Jamesfurt,2025-01-24 21:16:27.729478,34,3.7,4.3,Passenger No-show,38.42,0
480183cd-a7d4-47bb-a897-e6f7a9acebbe,Lisachester,Rebeccaville,2025-01-21 01:42:39.816240,35,4.8,5.0,Driver Late,32.44,0
8ff536ac-a8b4-4467-84c5-68227d14f552,North Ashley,Deborahshire,2025-01-17 11:02:18.270928,9,5.0,3.5,Driver Late,18.57,1
e3e081d3-637b-4e4c-836d-3a5246bf9a9c,Mirandaport,Jenniferton,2025-01-28 14:18:28.560057,48,3.5,3.7,Passenger No-show,36.78,0
f726e698-8e85-4277-a0fe-12bfa4ee2550,East Dawn,North Nancymouth,2025-01-06 08:14:51.478031,31,4.4,4.8,Changed Plans,42.33,1
4e127f25-bc1f-41af-a141-689874efa3f0,Ballborough,Catherinehaven,2025-01-02 23:58:35.336690,9,4.8,4.5,Passenger No-show,22.67,1
cb6ae968-3282-4586-94ed-30278ede2064,Port Johnmouth,Allenside,2025-01-04 19:17:00.426265,25,5.0,4.2,Passenger No-show,37.99,0
695dffdc-1331-4b07-b700-3b135acd1095,Briggsfurt,North Deanna,2025-01-20 12:46:03.877486,27,3.4,3.3,,29.08,1
463fb0c9-38a4-4f65-9ac3-94dcaf3d83a0,Murphyfurt,Jennyburgh,2025-01-16 14:13:30.853590,34,3.9,5.0,,41.94,0
7ec4b4cd-3314-41fc-ba7b-4ba341ddc8bc,Brianhaven,West Danielfort,2025-01-23 04:52:33.419964,38,3.7,3.4,Driver Late,46.1,0
e6f5ff91-1d3b-4604-8541-6330795db63b,North Danielshire,New Michael,2025-01-15 05:05:45.882394,57,5.0,3.8,Driver Late,43.27,0
f1d09dc8-c759-4733-a245-7494367afba8,Mitchellhaven,Faulknerchester,2025-01-28 03:37:11.203123,11,4.2,3.8,Passenger No-show,15.73,1
cc26af54-18bf-4384-aa79-2add91cc5710,New Adrianton,Paulahaven,2025-01-27 17:25:39.716398,7,3.2,3.6,Passenger No-show,30.01,0
3fafa727-ea80-4117-8dc8-53819fdcf55c,Lake Jamiestad,Davisfort,2025-01-21 12:57:48.361316,22,4.9,4.6,Driver Late,9.38,0
d40f60a9-a937-46a3-b12f-c9e1079badf7,Port Becky,West Moniqueville,2025-01-12 03:56:11.106588,44,4.3,4.1,Driver Late,32.46,0
84cc246c-bfea-4f5d-b790-689a80c2783b,Mannmouth,Sallyland,2025-01-17 05:03:58.091246,41,4.9,4.5,,14.63,1
19ffb3cf-06a9-425a-9726-a94825d939ad,Jodimouth,Thomasborough,2025-01-01 13:06:19.436360,51,3.2,3.9,Driver Late,32.1,0
13fadb94-4022-4698-8e67-72f777ff9024,Weeksside,Lake Amberborough,2025-01-15 13:04:45.345075,17,3.0,4.5,Driver Late,37.64,0
1daaef97-b57b-40ae-8744-ee5fbe741c87,Morenohaven,New Jennifershire,2025-01-21 13:50:35.953855,51,4.4,3.7,Driver Late,8.86,0
