iter	Passed	Remaining
0	88	88603
1	109	54697
2	132	44085
3	154	38380
4	176	35155
5	197	32696
6	220	31230
7	240	29819
8	261	28776
9	282	27926
10	302	27177
11	322	26558
12	342	26038
13	363	25584
14	383	25161
15	403	24826
16	424	24526
17	444	24234
18	464	23976
19	484	23760
20	505	23550
21	525	23354
22	546	23196
23	566	23037
24	587	22914
25	608	22779
26	628	22641
27	648	22498
28	668	22389
29	689	22278
30	709	22169
31	729	22064
32	749	21967
33	770	21890
34	790	21801
35	811	21717
36	830	21627
37	851	21557
38	871	21477
39	893	21445
40	913	21377
41	935	21339
42	956	21277
43	976	21212
44	996	21152
45	1017	21103
46	1037	21041
47	1057	20982
48	1078	20923
49	1098	20867
50	1118	20807
51	1138	20753
52	1159	20716
53	1179	20671
54	1200	20628
55	1239	20901
56	1260	20860
57	1281	20808
58	1302	20769
59	1405	22014
60	1434	22085
61	1457	22046
62	1478	21991
63	1499	21928
64	1520	21869
65	1540	21803
66	1561	21741
67	1581	21674
68	1601	21615
69	1622	21554
70	1642	21495
71	1663	21434
72	1684	21388
73	1704	21335
74	1725	21282
75	1746	21231
76	1766	21180
77	1787	21128
78	1807	21075
79	1828	21026
80	1848	20978
81	1870	20942
82	1891	20901
83	1913	20862
84	1934	20824
85	1956	20798
86	1979	20771
87	2000	20730
88	2021	20690
89	2043	20664
90	2065	20633
91	2086	20597
92	2108	20559
93	2128	20517
94	2149	20475
95	2170	20434
96	2190	20392
97	2211	20358
98	2232	20318
99	2253	20277
100	2274	20246
101	2295	20210
102	2317	20178
103	2337	20141
104	2358	20107
105	2379	20067
106	2400	20031
107	2421	19997
108	2442	19964
109	2463	19932
110	2485	19905
111	2506	19872
112	2527	19838
113	2549	19814
114	2571	19787
115	2592	19756
116	2613	19725
117	2634	19691
118	2655	19658
119	2676	19626
120	2697	19593
121	2717	19555
122	2737	19520
123	2760	19500
124	2781	19468
125	2802	19436
126	2822	19402
127	2844	19378
128	2867	19363
129	2890	19345
130	2912	19319
131	2934	19296
132	2956	19273
133	2979	19253
134	3001	19230
135	3023	19205
136	3044	19181
